Date;Opening;Highest price;Lowest price;Closing price;Volume;Turnover
2015-08-31;169.6;178.95;140.4;152.7;1.7013168E7;2733047162.7	
2015-09-30;149.7;156.3;142.35;155.05;1.8454295E7;2740649722.2600007	
2015-10-30;157.0;175.35;152.15;166.05;1.8536605E7;3061263180.2	
2015-11-30;164.65;171.0;162.65;167.6;1.2748916E7;2132359729.2	
2015-12-31;168.0;171.85;152.0;155.3;1.4199831E7;2260586200.2000003	
2016-01-29;152.55;157.55;142.65;157.55;1.6285593E7;2434803005.68	
2016-02-29;158.2;160.4;146.2;156.0;1.8835652E7;2889627274.4	
2016-03-31;155.95;162.2;151.2;157.45;1.7141162E7;2685387030.4	
2016-04-29;155.45;169.45;151.3;158.45;1.3573083E7;2177622956.6	
2016-05-31;158.15;169.0;155.65;168.9;1.0776981E7;1734007920.0500004	
2016-06-30;168.8;172.7;155.2;172.0;1.6204817E7;2680898384.01	
2016-07-29;172.75;177.9;166.1;170.25;1.0682671E7;1847998951.6500003	
2016-08-31;170.9;177.25;167.7;169.35;8635435.0;1483254245.1000001	
2016-09-30;168.9;175.55;163.95;168.1;1.0997732E7;1850066875.9	
2016-10-31;167.5;170.65;160.7;163.05;1.0659442E7;1769640681.1000001	
2016-11-30;163.85;170.0;156.5;161.05;1.4286733E7;2300082121.85	
2016-12-30;160.45;173.4;156.85;173.4;1.1707271E7;1948557868.6999998	
2017-01-31;172.65;174.0;168.35;168.35;1.1769189E7;2008036362.2999995	
2017-02-28;169.3;177.25;167.75;175.55;1.3553994E7;2345937677.3	
2017-03-31;176.75;180.15;173.9;180.15;1.2911497E7;2288211771.35	
2017-04-28;180.0;186.4;177.8;182.85;1.1798634E7;2148365878.9	
2017-05-31;182.9;191.8;182.8;190.45;1.2100238E7;2274898915.3499994	
2017-06-30;190.55;197.15;182.2;182.4;1.3557582E7;2573406057.85	
2017-07-31;183.2;186.25;174.1;175.1;1.1948211E7;2159449590.15	
2017-08-31;176.75;180.4;172.55;177.35;1.1427631E7;2012355001.0500002	
2017-09-29;177.75;188.5;175.35;179.9;1.2256814E7;2198255560.4	
2017-10-31;180.0;191.55;179.2;191.05;1.0468544E7;1946724941.65	
2017-11-30;191.25;194.95;182.95;185.8;1.128502E7;2120925199.7999995	
2017-12-29;186.5;190.8;184.05;184.95;9495953.0;1781582466.5999997	
2018-01-31;184.8;188.85;180.9;183.1;1.0748238E7;1982545676.0000002	
2018-02-28;184.0;184.3;170.3;177.05;1.4935237E7;2626229903.250001	
2018-03-29;176.55;184.5;170.5;183.35;1.3062214E7;2327858011.7999997	
2018-04-30;183.85;199.3;182.05;198.85;1.3655712E7;2608773486.15	
2018-05-31;198.95;210.2;194.15;205.6;1.2589637E7;2556760175.5	
2018-06-29;207.1;214.4;202.0;211.5;1.1748134E7;2447355280.200001	
2018-07-31;209.8;213.2;200.8;209.5;1.1898114E7;2481217277.5	
2018-08-31;210.6;214.9;200.7;206.7;9622154.0;2000050352	
2018-09-28;205.9;209.5;197.25;207.7;9815939.0;1991304373.2	
2018-10-31;207.0;208.6;182.0;198.9;1.4339157E7;2762911733.4500003	
2018-11-30;199.35;210.5;197.9;207.9;1.1239924E7;2310360609.6499996	
2018-12-31;212.1;214.3;193.2;201.2;1.0937447E7;2241605172.5499997	
2019-01-31;199.0;210.1;194.55;210.1;1.0152225E7;2029077008.35	
2019-02-28;211.4;226.7;209.6;221.9;1.0204947E7;2247779160.0000005	
2019-03-29;225.0;240.3;221.3;239.8;9323967.0;2166415321.9	
2019-04-30;241.3;245.8;237.2;245.1;9507829.0;2293336053.45	
2019-05-31;244.0;245.7;233.1;240.4;9666813.0;2321522569.5	
2019-06-28;240.0;257.3;238.1;250.5;9043355.0;2252968023.2	
2019-07-31;252.0;257.8;235.3;242.0;9016315.0;2252375741.2	
2019-08-30;239.5;251.1;226.4;248.6;1.2797526E7;3038506282.2	
2019-09-30;247.6;257.4;241.4;256.9;1.0577333E7;2635748029.4	
2019-10-31;257.8;266.6;235.5;261.8;1.1938914E7;2942658419.5999994	
2019-11-29;262.2;265.5;254.0;258.7;7788743.0;2027093992.75	
2019-12-31;257.9;267.6;248.3;264.0;8352447.0;2150633223.0499997	
2020-01-31;264.2;276.2;251.9;251.9;1.0036787E7;2648396500	
2020-02-28;252.3;278.5;235.2;241.0;1.3399487E7;3465790516.0499997	
2020-03-31;246.2;263.1;196.0;238.9;2.912145E7;6778001754.299999	
2020-04-30;232.8;265.3;229.0;265.3;1.1892375E7;2922764920.7000003	
2020-05-29;255.0;263.5;239.1;261.9;1.0454268E7;2616626364.2999997	
2020-06-30;264.0;287.6;255.1;285.7;1.3429013E7;3649750611	
